ORG_NAME,target
OFAC Sanctions List,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936
MetricsDAO Academy,0x41d91718ff6ea31a164c9fa2d079c3088018fd4a
MetricsDAO Academy,0xa7027eaa37be28ea302debad3ab2e0ea9812d95a
MetricsDAO Academy,0x02892867cd0dc07d4ddf193c23e25d4228aa002e
MetricsDAO Academy,0x6c407f729e18ddfdce61c240a6c93df38fb79537
MetricsDAO Academy,0x47f882a155209f55d280eb36577c100a74dd32a1
OFAC Sanctions List,0x07687e702b410fa43f4cb4af7fa097918ffd2730
MetricsDAO Academy,0x2f769a7578ca81b48acacd5a5db2192e67366854
MetricsDAO Academy,0x0a08e7c1b23df18413e27aa9ddd2e4376f49caf3
MetricsDAO,0x3138165f8d21d4869dbd406cd8bc8055cac8fb6e
Lenstopia,0x72423fe5168185afb26390b5b9709ab58d20e3d8
Pine Badges,0x04ae8c108743167c7457073ba8c1571fd5d56325
MetricsDAO Academy,0xfafe355b81c4eeabd438980721677a72d7155f52
MetricsDAO Academy,0x48b18dd111f2438d14af9f2a1a318279f87c16af
MetricsDAO Academy,0xca37d7349378f308fac82d6181814aed5aa08ffd
MetricsDAO Academy,0x11d85393510f6ac21d64aa90a7b1c850b05a097c
MetricsDAO Academy,0x439297a53eef7f39f9df832cc20c2d3963f0077c
mDAO Bounty Boyz,0x48ff4d06ceb0d69c958ee7856a2629bb568cffdc
MetricsDAO Academy,0x8eb1f6abbfb6c93f8e98d8bfb868e19f3f86de5e
MetricsDAO Academy,0x272310a269f5275a624fc7174df8115c7be3ef7a
Pine Badges,0x525a78abf7eb4a13f721176cff3ffaaf4c747e4c
MetricsDAO Academy,0x5f1cd8b2d818592454753ab0fe5671aeef9c6457
MetricsDAO Academy,0x8943328b6b0fa2965c38124ee8402de5da9b91a4
MetricsDAO Academy,kouros
MetricsDAO Academy,kouros
MetricsDAO Academy,kouros
MetricsDAO Academy,kouros
MetricsDAO Academy,wintorhgiad
MetricsDAO Academy,campaigns
MetricsDAO Academy,campaigns
MetricsDAO Academy,campaigns
Alpha Badger,yourfavoritegenzer
Alpha Badger,yourfavoritegenzer
Alpha Badger,yourfavoritegenzer
UTC,yourfavoritegenzer
Alpha Badger,yourfavoritegenzer
MetricsDAO Academy,namluong
MetricsDAO Academy,he3am
Pine Badges,he3am
MetricsDAO Academy,he3am
MetricsDAO Academy,he3am
MetricsDAO Academy,he3am
MetricsDAO Academy,he3am
TalentDAO - Research Guild,inkwire
MetricsDAO,kirox
Alpha Badger,kirox
UTC,flanner
Flipside ProAd,flanner
MetricsDAO,flanner
MetricsDAO Academy,0x5fb1603a65260e61ca8b80de4031a7b234088681
OFAC Sanctions List,0xaeaac358560e11f52454d997aaff2c5731b6f8a6
MetricsDAO Academy,0x346af6e7fd079398f22247d5db08913795e95553
MetricsDAO Academy,0xfc8208534e54cbd01d0567fe3ffb6bc2dd96ef59
MetricsDAO Academy,0xefa7415c70c688dc229ab099a46dab3657e16482
Pine Badges,0x6c003bc3ac4b75b53b14ab9ee610a1a8ccb65307
MetricsDAO Academy,0xc35383d3d60a5802e782d081d4b226fe54cf43f9
MetricsDAO Academy,0x546a5cb5c0add53efbc60000644aa70204b20576
MetricsDAO Academy,0x87f273078d7722053f7d83dd9df76ead38ce3b7d
MetricsDAO Academy,0x4b871ab2fb734eb9d64227b73ddd33063b7fb747
MetricsDAO Academy,0x9430ce779bb2cc5b8cf57c379ac735ab2a78462e
MetricsDAO Academy,0xcd6d5bbb4a142ac8d4194dd90fd39af7003c8560
MetricsDAO Academy,0xb62b18ee15a250f7561216c0052f1130b9235e9b
OFAC Sanctions List,0xd691f27f38b395864ea86cfc7253969b409c362d
Pine Citizen,0x021b8d868a589aad0dd1297dce136d31b23bdfe7
MetricsDAO Academy,0x4ab9940e2908bd274209219fe840724e729e5e00
MetricsDAO Academy,0xfc49703382c1b6a1989571f9ca7e087da71422c6
MetricsDAO Academy,0xba5d951935900a0e0f92d09888d2c61830868432
MetricsDAO Academy,0xe557f405afe4d7a66b3466ab9ce561ef671fc109
MetricsDAO Academy,0xc34997e329c4a7675fffb99020c577a54db5b5a7
MetricsDAO Academy,0xf6aabe4516739d44c80cae8f73e63bc46dde2787
MetricsDAO,0x62bcc72fa3e816b1eb939331d964da046284a9cc
MetricsDAO Academy,0xee8e7de493b60bf7a3352a9cd1fa3c686a2664c3
MetricsDAO Academy,0xfa211b18b0c22462e263d98a881c5be015ff754e
MetricsDAO Academy,0x03bb20ab77ec8f6a85a25252a88139c1d86043e2
MetricsDAO Academy,0x2062fac84661260facd741d126a494066f81f623
MetricsDAO Academy,0xc26e44682bc139858ce90c62359fa4d87d1f9711
MetricsDAO Academy,0xd4a1f1ceb0bba420a0d89d47e9204683092162f7
MetricsDAO Academy,aixweb3
MetricsDAO Academy,aixweb3
MetricsDAO Academy,aixweb3
Unparsed,badgeme
superbenefit test,badgeme
Unparsed,badgeme
score,badgeme
cosanostra,badgeme
Unparsed,badgeme
MetricsDAO,badgeme
airdropdao,badgeme
cosanostra,badgeme
Crypto, Culture
chartest§,badgeme
OTNs,badgeme
OTNs,badgeme
Alpha Badger,badgeme
UTC,badgeme
UTC,badgeme
Unparsed,badgeme
Unparsed,badgeme
Unparsed,badgeme
Unparsed,badgeme
Unparsed,badgeme
Unparsed,badgeme
score,badgeme
Crypto, Culture
Lenstopia,arosen
Lenstopia,arosen
Lenstopia,arosen
Lenstopia,arosen
MetricsDAO Academy,yashh
MetricsDAO Academy,iriran
MetricsDAO Academy,iriran
MetricsDAO Academy,jishantukripal
MetricsDAO Academy,itsdctime
MetricsDAO Academy,itsdctime
MetricsDAO Academy,itsdctime
Dune Wizards,0xc5ef564934003f56a7e67210a6032bf7bdab5ef6
MetricsDAO Academy,0x85764c7f8247a6aa6275856295610e19f2cf86a3
MetricsDAO Academy,0xa77c0a6e0225a9c8bc34b46a074723fcff9c3e8e
OFAC Sanctions List,0xb1c8094b234dce6e03f10a5b673c1d8c69739a00
MetricsDAO Academy,0x8cc531f453ddc5f229db9ca1b13205dfdaf2a854
OFAC Sanctions List,0x527653ea119f3e6a1f5bd18fbf4714081d7b31ce
Flipside ProAd,0x415628f36a1f84c23b18e37ff652a3a8d3cfc5c5
MetricsDAO Academy,0x0f93cebb297ac9466f4a24de9a16b0a594353424
MetricsDAO Academy,0xc496c35c7545fd595478746fbf34a0d5357045f5
Pine Badges,0xdee1941840ea7cfa9813306f90359c52ac821ade
MetricsDAO Academy,0x9e8370c3cc3838a7090b703ccbcd3a5687b98d63
MetricsDAO Academy,0xd634328ba5d3550a708bd8d3d96a182745599825
dApp dev testing,0x0b9cdd330c8ff08d7e3d298dcbc84b3077c33c7c
MetricsDAO Academy,0xb337d282406f53f25b5d9b0b5e2e641251bbc50c
Pine Badges,0xb9b6118607b4fc51c19986df40758948e4f6ca48
UNDP Web3 for 2030 Programme,0x4843034252589a81331fb76b5ae66cbde26acf07
